 input parameter from : input/param_16.in                                                                                                               
r0, slope_xi:    1.000   1.850
v_inflow, r_inflow, slope_v12:  180.000   1.000   1.850
v_outflow, r_outflow:    0.000   1.000
s12_0:  200.000
r_eq, betaN:    0.010   1.450
  335     6.6900E+00     2.3893E+00     2.1339E-36
  336     6.7100E+00     2.3964E+00     2.0840E-36
  337     6.7300E+00     2.4036E+00     2.0355E-36
  338     6.7500E+00     2.4107E+00     1.9884E-36
  339     6.7700E+00     2.4179E+00     1.9426E-36
  340     6.7900E+00     2.4250E+00     1.8981E-36
  341     6.8100E+00     2.4321E+00     1.8549E-36
  342     6.8300E+00     2.4393E+00     1.8128E-36
  343     6.8500E+00     2.4464E+00     1.7720E-36
  344     6.8700E+00     2.4536E+00     1.7324E-36
  345     6.8900E+00     2.4607E+00     1.6938E-36
  346     6.9100E+00     2.4679E+00     1.6564E-36
  347     6.9300E+00     2.4750E+00     1.6200E-36
  348     6.9500E+00     2.4821E+00     1.5846E-36
  349     6.9700E+00     2.4893E+00     1.5502E-36
  350     6.9900E+00     2.4964E+00     1.5168E-36
  351     7.0100E+00     2.5036E+00     1.4843E-36
  352     7.0300E+00     2.5107E+00     1.4528E-36
  353     7.0500E+00     2.5179E+00     1.4221E-36
  354     7.0700E+00     2.5250E+00     1.3923E-36
  355     7.0900E+00     2.5321E+00     1.3633E-36
  356     7.1100E+00     2.5393E+00     1.3351E-36
  357     7.1300E+00     2.5464E+00     1.3077E-36
  358     7.1500E+00     2.5536E+00     1.2811E-36
  359     7.1700E+00     2.5607E+00     1.2552E-36
  360     7.1900E+00     2.5679E+00     1.2300E-36
  361     7.2100E+00     2.5750E+00     1.2055E-36
  362     7.2300E+00     2.5821E+00     1.1817E-36
  363     7.2500E+00     2.5893E+00     1.1586E-36
  364     7.2700E+00     2.5964E+00     1.1361E-36
  365     7.2900E+00     2.6036E+00     1.1142E-36
  366     7.3100E+00     2.6107E+00     1.0929E-36
  367     7.3300E+00     2.6179E+00     1.0722E-36
  368     7.3500E+00     2.6250E+00     1.0520E-36
  369     7.3700E+00     2.6321E+00     1.0324E-36
  370     7.3900E+00     2.6393E+00     1.0134E-36
  371     7.4100E+00     2.6464E+00     9.9481E-37
  372     7.4300E+00     2.6536E+00     9.7675E-37
  373     7.4500E+00     2.6607E+00     9.5918E-37
  374     7.4700E+00     2.6679E+00     9.4208E-37
  375     7.4900E+00     2.6750E+00     9.2543E-37
  376     7.5100E+00     2.6821E+00     9.0923E-37
  377     7.5300E+00     2.6893E+00     8.9345E-37
  378     7.5500E+00     2.6964E+00     8.7809E-37
  379     7.5700E+00     2.7036E+00     8.6314E-37
  380     7.5900E+00     2.7107E+00     8.4858E-37
  381     7.6100E+00     2.7179E+00     8.3440E-37
  382     7.6300E+00     2.7250E+00     8.2058E-37
  383     7.6500E+00     2.7321E+00     8.0713E-37
  384     7.6700E+00     2.7393E+00     7.9402E-37
  385     7.6900E+00     2.7464E+00     7.8125E-37
  386     7.7100E+00     2.7536E+00     7.6880E-37
  387     7.7300E+00     2.7607E+00     7.5668E-37
  388     7.7500E+00     2.7679E+00     7.4485E-37
  389     7.7700E+00     2.7750E+00     7.3333E-37
  390     7.7900E+00     2.7821E+00     7.2210E-37
  391     7.8100E+00     2.7893E+00     7.1114E-37
  392     7.8300E+00     2.7964E+00     7.0046E-37
  393     7.8500E+00     2.8036E+00     6.9005E-37
  394     7.8700E+00     2.8107E+00     6.7989E-37
  395     7.8900E+00     2.8179E+00     6.6997E-37
  396     7.9100E+00     2.8250E+00     6.6030E-37
  397     7.9300E+00     2.8321E+00     6.5086E-37
  398     7.9500E+00     2.8393E+00     6.4165E-37
  399     7.9700E+00     2.8464E+00     6.3266E-37
  400     7.9900E+00     2.8536E+00     6.2389E-37
  401     8.0100E+00     2.8607E+00     6.1532E-37
  402     8.0300E+00     2.8679E+00     6.0695E-37
  403     8.0500E+00     2.8750E+00     5.9878E-37
  404     8.0700E+00     2.8821E+00     5.9079E-37
  405     8.0900E+00     2.8893E+00     5.8299E-37
  406     8.1100E+00     2.8964E+00     5.7537E-37
  407     8.1300E+00     2.9036E+00     5.6792E-37
  408     8.1500E+00     2.9107E+00     5.6064E-37
  409     8.1700E+00     2.9179E+00     5.5352E-37
  410     8.1900E+00     2.9250E+00     5.4657E-37
  411     8.2100E+00     2.9321E+00     5.3976E-37
  412     8.2300E+00     2.9393E+00     5.3310E-37
  413     8.2500E+00     2.9464E+00     5.2659E-37
  414     8.2700E+00     2.9536E+00     5.2022E-37
  415     8.2900E+00     2.9607E+00     5.1399E-37
  416     8.3100E+00     2.9679E+00     5.0788E-37
  417     8.3300E+00     2.9750E+00     5.0191E-37
  418     8.3500E+00     2.9821E+00     4.9606E-37
  419     8.3700E+00     2.9893E+00     4.9033E-37
  420     8.3900E+00     2.9964E+00     4.8472E-37
  421     8.4100E+00     3.0036E+00     4.7923E-37
  422     8.4300E+00     3.0107E+00     4.7384E-37
  423     8.4500E+00     3.0179E+00     4.6857E-37
  424     8.4700E+00     3.0250E+00     4.6340E-37
  425     8.4900E+00     3.0321E+00     4.5833E-37
  426     8.5100E+00     3.0393E+00     4.5336E-37
  427     8.5300E+00     3.0464E+00     4.4848E-37
  428     8.5500E+00     3.0536E+00     4.4371E-37
  429     8.5700E+00     3.0607E+00     4.3902E-37
  430     8.5900E+00     3.0679E+00     4.3442E-37
  431     8.6100E+00     3.0750E+00     4.2990E-37
  432     8.6300E+00     3.0821E+00     4.2547E-37
  433     8.6500E+00     3.0893E+00     4.2112E-37
  434     8.6700E+00     3.0964E+00     4.1685E-37
  435     8.6900E+00     3.1036E+00     4.1266E-37
  436     8.7100E+00     3.1107E+00     4.0854E-37
  437     8.7300E+00     3.1179E+00     4.0449E-37
  438     8.7500E+00     3.1250E+00     4.0052E-37
  439     8.7700E+00     3.1321E+00     3.9661E-37
  440     8.7900E+00     3.1393E+00     3.9277E-37
