 # 1) i 2) r [pMpc] 3) Lya emissivity [erg/s/cm3, proper]
  221     1.5750E+00     4.4112E-35
  222     1.5821E+00     4.2952E-35
  223     1.5893E+00     4.1821E-35
  224     1.5964E+00     4.0719E-35
  225     1.6036E+00     3.9645E-35
  226     1.6107E+00     3.8599E-35
  227     1.6179E+00     3.7579E-35
  228     1.6250E+00     3.6586E-35
  229     1.6321E+00     3.5618E-35
  230     1.6393E+00     3.4675E-35
  231     1.6464E+00     3.3756E-35
  232     1.6536E+00     3.2861E-35
  233     1.6607E+00     3.1989E-35
  234     1.6679E+00     3.1140E-35
  235     1.6750E+00     3.0312E-35
  236     1.6821E+00     2.9506E-35
  237     1.6893E+00     2.8721E-35
  238     1.6964E+00     2.7956E-35
  239     1.7036E+00     2.7211E-35
  240     1.7107E+00     2.6486E-35
  241     1.7179E+00     2.5779E-35
  242     1.7250E+00     2.5090E-35
  243     1.7321E+00     2.4420E-35
  244     1.7393E+00     2.3767E-35
  245     1.7464E+00     2.3131E-35
  246     1.7536E+00     2.2512E-35
  247     1.7607E+00     2.1909E-35
  248     1.7679E+00     2.1322E-35
  249     1.7750E+00     2.0751E-35
  250     1.7821E+00     2.0194E-35
  251     1.7893E+00     1.9652E-35
  252     1.7964E+00     1.9125E-35
  253     1.8036E+00     1.8611E-35
  254     1.8107E+00     1.8111E-35
  255     1.8179E+00     1.7624E-35
  256     1.8250E+00     1.7150E-35
  257     1.8321E+00     1.6689E-35
  258     1.8393E+00     1.6240E-35
  259     1.8464E+00     1.5802E-35
  260     1.8536E+00     1.5377E-35
  261     1.8607E+00     1.4963E-35
  262     1.8679E+00     1.4560E-35
  263     1.8750E+00     1.4168E-35
  264     1.8821E+00     1.3786E-35
  265     1.8893E+00     1.3414E-35
  266     1.8964E+00     1.3053E-35
  267     1.9036E+00     1.2701E-35
  268     1.9107E+00     1.2359E-35
  269     1.9179E+00     1.2026E-35
  270     1.9250E+00     1.1701E-35
  271     1.9321E+00     1.1386E-35
  272     1.9393E+00     1.1079E-35
  273     1.9464E+00     1.0781E-35
  274     1.9536E+00     1.0491E-35
  275     1.9607E+00     1.0208E-35
  276     1.9679E+00     9.9332E-36
  277     1.9750E+00     9.6659E-36
  278     1.9821E+00     9.4059E-36
  279     1.9893E+00     9.1532E-36
  280     1.9964E+00     8.9072E-36
  281     2.0036E+00     8.6680E-36
  282     2.0107E+00     8.4353E-36
  283     2.0179E+00     8.2090E-36
  284     2.0250E+00     7.9889E-36
